Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Total
M1H,Age characteristics,Total population by age groups,10 to 14 years,,,,,1245
M1H,Age characteristics,Total population by age groups,15 to 19 years,,,,,1500
M1H,Age characteristics,Total population by age groups,15 to 19 years,15 years,,,,255
M1H,Age characteristics,Total population by age groups,15 to 19 years,16 years,,,,305
M1H,Age characteristics,Total population by age groups,15 to 19 years,17 years,,,,280
M1H,Age characteristics,Total population by age groups,15 to 19 years,18 years,,,,320
M1H,Age characteristics,Total population by age groups,15 to 19 years,19 years,,,,335
M1H,Age characteristics,Total population by age groups,20 to 24 years,,,,,1870
M1H,Age characteristics,Total population by age groups,25 to 29 years,,,,,1920
M1H,Age characteristics,Total population by age groups,30 to 34 years,,,,,1905
M1H,Age characteristics,Total population by age groups,35 to 39 years,,,,,1780
M1H,Age characteristics,Total population by age groups,40 to 44 years,,,,,1770
M1H,Age characteristics,Total population by age groups,45 to 49 years,,,,,1775
M1H,Age characteristics,Total population by age groups,50 to 54 years,,,,,1620
M1H,Age characteristics,Total population by age groups,55 to 59 years,,,,,1360
M1H,Age characteristics,Total population by age groups,60 to 64 years,,,,,1020
M1H,Age characteristics,Total population by age groups,65 to 69 years,,,,,845
M1H,Age characteristics,Total population by age groups,70 to 74 years,,,,,750
M1H,Age characteristics,Total population by age groups,75 to 79 years,,,,,760
M1H,Age characteristics,Total population by age groups,80 to 84 years,,,,,550
M1H,Age characteristics,Total population by age groups,85 years and over,,,,,405
M1H,Age characteristics,Median age of the population,,,,,,37.1
M1H,Age characteristics,% of the population aged 15 and over,,,,,,83.6
M1J,Age characteristics,Total population by age groups,,,,,,36160
M1J,Age characteristics,Total population by age groups,0 to 4 years,,,,,2605
M1J,Age characteristics,Total population by age groups,5 to 9 years,,,,,2495
M1J,Age characteristics,Total population by age groups,10 to 14 years,,,,,2510
M1J,Age characteristics,Total population by age groups,15 to 19 years,,,,,2535
M1J,Age characteristics,Total population by age groups,15 to 19 years,15 years,,,,510
M1J,Age characteristics,Total population by age groups,15 to 19 years,16 years,,,,530
M1J,Age characteristics,Total population by age groups,15 to 19 years,17 years,,,,490
M1J,Age characteristics,Total population by age groups,15 to 19 years,18 years,,,,530
M1J,Age characteristics,Total population by age groups,15 to 19 years,19 years,,,,485
M1J,Age characteristics,Total population by age groups,20 to 24 years,,,,,2565
M1J,Age characteristics,Total population by age groups,25 to 29 years,,,,,2465
M1J,Age characteristics,Total population by age groups,30 to 34 years,,,,,2395
M1J,Age characteristics,Total population by age groups,35 to 39 years,,,,,2480
M1J,Age characteristics,Total population by age groups,40 to 44 years,,,,,2635
M1J,Age characteristics,Total population by age groups,45 to 49 years,,,,,2670
M1J,Age characteristics,Total population by age groups,50 to 54 years,,,,,2505
M1J,Age characteristics,Total population by age groups,55 to 59 years,,,,,2100
M1J,Age characteristics,Total population by age groups,60 to 64 years,,,,,1725
M1J,Age characteristics,Total population by age groups,65 to 69 years,,,,,1230
M1J,Age characteristics,Total population by age groups,70 to 74 years,,,,,1065
M1J,Age characteristics,Total population by age groups,75 to 79 years,,,,,905
M1J,Age characteristics,Total population by age groups,80 to 84 years,,,,,690
M1J,Age characteristics,Total population by age groups,85 years and over,,,,,585
M1J,Age characteristics,Median age of the population,,,,,,36
M1J,Age characteristics,% of the population aged 15 and over,,,,,,78.9
M1K,Age characteristics,Total population by age groups,,,,,,47290
M1K,Age characteristics,Total population by age groups,0 to 4 years,,,,,2810
M1K,Age characteristics,Total population by age groups,5 to 9 years,,,,,2670
M1K,Age characteristics,Total population by age groups,10 to 14 years,,,,,2790
M1K,Age characteristics,Total population by age groups,15 to 19 years,,,,,3045
M1K,Age characteristics,Total population by age groups,15 to 19 years,15 years,,,,650
M1K,Age characteristics,Total population by age groups,15 to 19 years,16 years,,,,635
M1K,Age characteristics,Total population by age groups,15 to 19 years,17 years,,,,605
M1K,Age characteristics,Total population by age groups,15 to 19 years,18 years,,,,560
M1K,Age characteristics,Total population by age groups,15 to 19 years,19 years,,,,605
M1K,Age characteristics,Total population by age groups,20 to 24 years,,,,,3125
M1K,Age characteristics,Total population by age groups,25 to 29 years,,,,,3085
M1K,Age characteristics,Total population by age groups,30 to 34 years,,,,,3100
M1K,Age characteristics,Total population by age groups,35 to 39 years,,,,,3165
M1K,Age characteristics,Total population by age groups,40 to 44 years,,,,,3680
M1K,Age characteristics,Total population by age groups,45 to 49 years,,,,,4105
M1K,Age characteristics,Total population by age groups,50 to 54 years,,,,,3695
M1K,Age characteristics,Total population by age groups,55 to 59 years,,,,,3165
M1K,Age characteristics,Total population by age groups,60 to 64 years,,,,,2455
M1K,Age characteristics,Total population by age groups,65 to 69 years,,,,,1820
M1K,Age characteristics,Total population by age groups,70 to 74 years,,,,,1515
M1K,Age characteristics,Total population by age groups,75 to 79 years,,,,,1305
M1K,Age characteristics,Total population by age groups,80 to 84 years,,,,,1045
M1K,Age characteristics,Total population by age groups,85 years and over,,,,,710
M1K,Age characteristics,Median age of the population,,,,,,39.8
M1K,Age characteristics,% of the population aged 15 and over,,,,,,82.5
M1L,Age characteristics,Total population by age groups,,,,,,32980
M1L,Age characteristics,Total population by age groups,0 to 4 years,,,,,2330
M1L,Age characteristics,Total population by age groups,5 to 9 years,,,,,1980
M1L,Age characteristics,Total population by age groups,10 to 14 years,,,,,2010
M1L,Age characteristics,Total population by age groups,15 to 19 years,,,,,2075
M1L,Age characteristics,Total population by age groups,15 to 19 years,15 years,,,,435
M1L,Age characteristics,Total population by age groups,15 to 19 years,16 years,,,,410
