Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Total
M1C,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,,,,,,4895
M1C,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of persons not in census families aged 65 years and over,,,,,1110
M1C,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of persons not in census families aged 65 years and over,Living with relatives,,,,555
M1C,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of persons not in census families aged 65 years and over,Living with non-relatives only,,,,80
M1C,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of persons not in census families aged 65 years and over,Living alone,,,,475
M1C,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of census family persons aged 65 years and over,,,,,3790
M1C,Household and dwelling characteristics,Total number of private households by household type,,,,,,11150
M1C,Household and dwelling characteristics,Total number of private households by household type,Census-family households,,,,,9715
M1C,Household and dwelling characteristics,Total number of private households by household type,Census-family households,One-family-only households,,,,8175
M1C,Household and dwelling characteristics,Total number of private households by household type,Census-family households,One-family-only households,Couple-family households,,,7155
M1C,Household and dwelling characteristics,Total number of private households by household type,Census-family households,One-family-only households,Couple-family households,Without children,,2525
M1C,Household and dwelling characteristics,Total number of private households by household type,Census-family households,One-family-only households,Couple-family households,With children,,4635
M1C,Household and dwelling characteristics,Total number of private households by household type,Census-family households,One-family-only households,Lone-parent-family households,,,1020
M1C,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,,,,1545
M1C,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,One-family households with persons not in a census family,,,920
M1C,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,One-family households with persons not in a census family,Couple-family households,,700
M1C,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,One-family households with persons not in a census family,Couple-family households,Without children,135
M1C,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,One-family households with persons not in a census family,Couple-family households,With children,570
M1C,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,One-family households with persons not in a census family,Lone-parent-family households,,215
M1C,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,Two-or-more-family households,,,625
M1C,Household and dwelling characteristics,Total number of private households by household type,Non-census-family households,,,,,1435
M1C,Household and dwelling characteristics,Total number of private households by household type,Non-census-family households,One-person households,,,,1190
M1C,Household and dwelling characteristics,Total number of private households by household type,Non-census-family households,Two-or-more-person households,,,,245
M1C,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,,,,,,11150
M1C,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Single-detached house,,,,,8900
M1C,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,"Apartment, building that has five or more storeys",,,,,150
M1C,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Movable dwelling,,,,,5
M1C,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Other dwelling,,,,,2100
M1C,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Other dwelling,Semi-detached house,,,,350
M1C,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Other dwelling,Row house,,,,820
M1C,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Other dwelling,"Apartment, duplex",,,,845
M1C,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Other dwelling,"Apartment, building that has fewer than five storeys",,,,80
M1C,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Other dwelling,Other single-attached house,,,,5
M1C,Household and dwelling characteristics,Total number of private households by household size,,,,,,11155
M1C,Household and dwelling characteristics,Total number of private households by household size,1 person,,,,,1190
M1C,Household and dwelling characteristics,Total number of private households by household size,2 persons,,,,,3255
M1C,Household and dwelling characteristics,Total number of private households by household size,3 persons,,,,,2255
M1C,Household and dwelling characteristics,Total number of private households by household size,4 persons,,,,,2570
M1C,Household and dwelling characteristics,Total number of private households by household size,5 persons,,,,,1185
M1C,Household and dwelling characteristics,Total number of private households by household size,6 or more persons,,,,,695
M1C,Household and dwelling characteristics,Number of persons in private households,,,,,,35275
M1C,Household and dwelling characteristics,Average number of persons in private households,,,,,,3.2
M1G,Household and dwelling characteristics,Total number of persons in private households,,,,,,30040
M1G,Household and dwelling characteristics,Total number of persons in private households,Number of persons not in census families,,,,,4210
M1G,Household and dwelling characteristics,Total number of persons in private households,Number of persons not in census families,Living with relatives,,,,995
M1G,Household and dwelling characteristics,Total number of persons in private households,Number of persons not in census families,Living with non-relatives only,,,,1030
M1G,Household and dwelling characteristics,Total number of persons in private households,Number of persons not in census families,Living alone,,,,2190
M1G,Household and dwelling characteristics,Total number of persons in private households,Number of census family persons,,,,,25830
M1G,Household and dwelling characteristics,Average number of persons per census family,,,,,,3.2
M1G,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,,,,,,4195
M1G,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of persons not in census families aged 65 years and over,,,,,1470
M1G,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of persons not in census families aged 65 years and over,Living with relatives,,,,345
M1G,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of persons not in census families aged 65 years and over,Living with non-relatives only,,,,75
M1G,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of persons not in census families aged 65 years and over,Living alone,,,,1055
M1G,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of census family persons aged 65 years and over,,,,,2725
M1G,Household and dwelling characteristics,Total number of private households by household type,,,,,,10090
M1G,Household and dwelling characteristics,Total number of private households by household type,Census-family households,,,,,7560
