Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Total
M1T,Population and dwelling counts,Population density per square kilometre,,,,,,
M1T,Population and dwelling counts,Land area (square km),,,,,,
M1V,Population and dwelling counts,Population in 2011,,,,,,56313
M1V,Population and dwelling counts,Population in 2006,,,,,,
M1V,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M1V,Population and dwelling counts,Total private dwellings,,,,,,16510
M1V,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,16193
M1V,Population and dwelling counts,Population density per square kilometre,,,,,,
M1V,Population and dwelling counts,Land area (square km),,,,,,
M1W,Population and dwelling counts,Population in 2011,,,,,,49590
M1W,Population and dwelling counts,Population in 2006,,,,,,
M1W,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M1W,Population and dwelling counts,Total private dwellings,,,,,,16378
M1W,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,16076
M1W,Population and dwelling counts,Population density per square kilometre,,,,,,
M1W,Population and dwelling counts,Land area (square km),,,,,,
M1X,Population and dwelling counts,Population in 2011,,,,,,14744
M1X,Population and dwelling counts,Population in 2006,,,,,,
M1X,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M1X,Population and dwelling counts,Total private dwellings,,,,,,3574
M1X,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,3531
M1X,Population and dwelling counts,Population density per square kilometre,,,,,,
M1X,Population and dwelling counts,Land area (square km),,,,,,
M2H,Population and dwelling counts,Population in 2011,,,,,,25331
M2H,Population and dwelling counts,Population in 2006,,,,,,
M2H,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M2H,Population and dwelling counts,Total private dwellings,,,,,,9061
M2H,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,8802
M2H,Population and dwelling counts,Population density per square kilometre,,,,,,
M2H,Population and dwelling counts,Land area (square km),,,,,,
M2J,Population and dwelling counts,Population in 2011,,,,,,54104
M2J,Population and dwelling counts,Population in 2006,,,,,,
M2J,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
