,Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Total
19392,M4L,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,1955.0
19393,M4L,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,1195.0
19857,M4M,Marital status,Total population 15 years and over by marital status,,,,,,20210.0
19858,M4M,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,9390.0
19859,M4M,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,7115.0
19860,M4M,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,2280.0
19861,M4M,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,10820.0
19862,M4M,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,7600.0
19863,M4M,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,675.0
19864,M4M,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,1625.0
19865,M4M,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,920.0
20329,M4N,Marital status,Total population 15 years and over by marital status,,,,,,12560.0
20330,M4N,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,7495.0
20331,M4N,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,6875.0
20332,M4N,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,620.0
20333,M4N,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,5065.0
20334,M4N,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,3350.0
20335,M4N,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,225.0
20336,M4N,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,660.0
20337,M4N,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,830.0
20801,M4P,Marital status,Total population 15 years and over by marital status,,,,,,17430.0
20802,M4P,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,7365.0
20803,M4P,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,5530.0
20804,M4P,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,1835.0
20805,M4P,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,10065.0
20806,M4P,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,7390.0
20807,M4P,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,555.0
20808,M4P,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,1470.0
20809,M4P,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,650.0
21273,M4R,Marital status,Total population 15 years and over by marital status,,,,,,9165.0
21274,M4R,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,5045.0
21275,M4R,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,4320.0
21276,M4R,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,720.0
21277,M4R,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,4125.0
21278,M4R,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,3030.0
21279,M4R,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,210.0
21280,M4R,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,575.0
21281,M4R,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,310.0
21745,M4S,Marital status,Total population 15 years and over by marital status,,,,,,22515.0
21746,M4S,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,10735.0
21747,M4S,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,8440.0
21748,M4S,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,2295.0
21749,M4S,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,11780.0
21750,M4S,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,8325.0
21751,M4S,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,645.0
21752,M4S,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,1655.0
21753,M4S,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,1155.0
22217,M4T,Marital status,Total population 15 years and over by marital status,,,,,,8835.0
22218,M4T,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,4515.0
22219,M4T,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,3865.0
22220,M4T,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,650.0
22221,M4T,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,4315.0
22222,M4T,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,3020.0
22223,M4T,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,215.0
22224,M4T,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,630.0
22225,M4T,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,450.0
22689,M4V,Marital status,Total population 15 years and over by marital status,,,,,,15610.0
22690,M4V,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,7720.0
22691,M4V,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,6160.0
22692,M4V,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,1560.0
22693,M4V,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,7885.0
22694,M4V,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,5485.0
22695,M4V,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,360.0
22696,M4V,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,1225.0
22697,M4V,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,820.0
23161,M4W,Marital status,Total population 15 years and over by marital status,,,,,,12585.0
23162,M4W,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,6395.0
23163,M4W,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,5375.0
23164,M4W,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,1020.0
23165,M4W,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,6195.0
23166,M4W,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,4390.0
23167,M4W,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,290.0
23168,M4W,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,875.0
23169,M4W,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,635.0
23633,M4X,Marital status,Total population 15 years and over by marital status,,,,,,17650.0
23634,M4X,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,7335.0
23635,M4X,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,5690.0
23636,M4X,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,1650.0
23637,M4X,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,10310.0
23638,M4X,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,7500.0
23639,M4X,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,715.0
23640,M4X,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,1340.0
23641,M4X,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,755.0
24105,M4Y,Marital status,Total population 15 years and over by marital status,,,,,,25070.0
24106,M4Y,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,9015.0
24107,M4Y,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,5445.0
24108,M4Y,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,3570.0
24109,M4Y,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,16055.0
24110,M4Y,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,13195.0
24111,M4Y,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,590.0
24112,M4Y,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,1640.0
24113,M4Y,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,630.0
24577,M5A,Marital status,Total population 15 years and over by marital status,,,,,,30485.0
24578,M5A,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,11015.0
24579,M5A,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,7690.0
24580,M5A,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,3330.0
24581,M5A,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,19470.0
24582,M5A,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,14405.0
24583,M5A,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,1200.0
24584,M5A,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,2860.0
24585,M5A,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,1005.0
25049,M5B,Marital status,Total population 15 years and over by marital status,,,,,,10735.0
25050,M5B,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,3505.0
25051,M5B,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,2365.0
25052,M5B,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,1135.0
25053,M5B,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,7230.0
25054,M5B,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,5880.0
25055,M5B,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,305.0
25056,M5B,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,705.0
25057,M5B,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,335.0
25521,M5C,Marital status,Total population 15 years and over by marital status,,,,,,2790.0
25522,M5C,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,1095.0
25523,M5C,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,735.0
25524,M5C,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,355.0
25525,M5C,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,1695.0
25526,M5C,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,1365.0
25527,M5C,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,85.0
25528,M5C,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,190.0
25529,M5C,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,55.0
25993,M5E,Marital status,Total population 15 years and over by marital status,,,,,,6055.0
25994,M5E,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,2660.0
25995,M5E,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,1925.0
25996,M5E,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,740.0
25997,M5E,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,3395.0
25998,M5E,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,2520.0
25999,M5E,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,175.0
26000,M5E,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,480.0
26001,M5E,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,220.0
26465,M5G,Marital status,Total population 15 years and over by marital status,,,,,,6495.0
26466,M5G,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,2505.0
26467,M5G,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,1985.0
26468,M5G,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,520.0
26469,M5G,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,3985.0
26470,M5G,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,3505.0
26471,M5G,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,95.0
26472,M5G,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,275.0
26473,M5G,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,115.0
26937,M5H,Marital status,Total population 15 years and over by marital status,,,,,,1000.0
26938,M5H,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,350.0
26939,M5H,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,230.0
26940,M5H,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,125.0
26941,M5H,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,650.0
26942,M5H,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,565.0
26943,M5H,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,20.0
26944,M5H,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,50.0
26945,M5H,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,10.0
27409,M5J,Marital status,Total population 15 years and over by marital status,,,,,,9880.0
27410,M5J,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,4815.0
27411,M5J,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,3565.0
27412,M5J,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,1250.0
27413,M5J,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,5065.0
27414,M5J,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,3870.0
27415,M5J,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,240.0
27416,M5J,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,660.0
27417,M5J,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,295.0
27881,M5M,Marital status,Total population 15 years and over by marital status,,,,,,20190.0
27882,M5M,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,12410.0
27883,M5M,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,11525.0
27884,M5M,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,880.0
27885,M5M,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,7780.0
27886,M5M,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,5405.0
27887,M5M,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,410.0
27888,M5M,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,1080.0
27889,M5M,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,880.0
28353,M5N,Marital status,Total population 15 years and over by marital status,,,,,,13250.0
28354,M5N,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,7320.0
28355,M5N,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,6590.0
28356,M5N,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,730.0
28357,M5N,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,5935.0
28358,M5N,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,4175.0
28359,M5N,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,310.0
28360,M5N,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,830.0
28361,M5N,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,620.0
28825,M5P,Marital status,Total population 15 years and over by marital status,,,,,,16045.0
28826,M5P,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,8390.0
28827,M5P,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,7085.0
28828,M5P,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,1305.0
28829,M5P,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,7655.0
28830,M5P,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,5400.0
28831,M5P,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,380.0
28832,M5P,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,1050.0
28833,M5P,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,830.0
29297,M5R,Marital status,Total population 15 years and over by marital status,,,,,,23280.0
29298,M5R,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,9565.0
29299,M5R,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,7100.0
29300,M5R,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,2470.0
29301,M5R,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,13710.0
29302,M5R,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,10320.0
29303,M5R,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,590.0
29304,M5R,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,1640.0
29305,M5R,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,1165.0
29769,M5S,Marital status,Total population 15 years and over by marital status,,,,,,12990.0
29770,M5S,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,4575.0
29771,M5S,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,3465.0
29772,M5S,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,1105.0
29773,M5S,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,8420.0
29774,M5S,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,6885.0
29775,M5S,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,235.0
29776,M5S,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,655.0
29777,M5S,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,645.0
30241,M5T,Marital status,Total population 15 years and over by marital status,,,,,,17160.0
30242,M5T,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,5815.0
30243,M5T,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,4560.0
30244,M5T,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,1260.0
30245,M5T,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,11345.0
30246,M5T,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,8565.0
30247,M5T,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,585.0
30248,M5T,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,1200.0
30249,M5T,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,1000.0
30713,M5V,Marital status,Total population 15 years and over by marital status,,,,,,29270.0
30714,M5V,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,11920.0
30715,M5V,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,7415.0
30716,M5V,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,4505.0
30717,M5V,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,17350.0
30718,M5V,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,14815.0
30719,M5V,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,650.0
30720,M5V,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,1570.0
30721,M5V,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,315.0
31185,M5W,Marital status,Total population 15 years and over by marital status,,,,,,
31186,M5W,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,
31187,M5W,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,
31188,M5W,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,
31189,M5W,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,
31190,M5W,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,
31191,M5W,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,
31192,M5W,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,
31193,M5W,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,
31657,M6A,Marital status,Total population 15 years and over by marital status,,,,,,15860.0
31658,M6A,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,6860.0
31659,M6A,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,6245.0
31660,M6A,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,620.0
31661,M6A,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,9000.0
31662,M6A,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,5435.0
31663,M6A,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,630.0
31664,M6A,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,1250.0
31665,M6A,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,1680.0
32129,M6B,Marital status,Total population 15 years and over by marital status,,,,,,24460.0
32130,M6B,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,12570.0
32131,M6B,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,11520.0
32132,M6B,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,1050.0
32133,M6B,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,11895.0
32134,M6B,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,7485.0
32135,M6B,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,775.0
32136,M6B,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,1655.0
32137,M6B,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,1980.0
32601,M6C,Marital status,Total population 15 years and over by marital status,,,,,,20500.0
32602,M6C,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,10570.0
32603,M6C,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,8895.0
32604,M6C,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,1675.0
32605,M6C,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,9935.0
32606,M6C,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,6925.0
32607,M6C,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,690.0
32608,M6C,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,1350.0
32609,M6C,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,970.0
33073,M6E,Marital status,Total population 15 years and over by marital status,,,,,,32235.0
33074,M6E,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,16330.0
33075,M6E,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,14235.0
33076,M6E,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,2100.0
33077,M6E,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,15900.0
33078,M6E,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,10650.0
33079,M6E,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,1230.0
33080,M6E,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,1965.0
33081,M6E,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,2055.0
33545,M6G,Marital status,Total population 15 years and over by marital status,,,,,,28250.0
33546,M6G,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,13075.0
33547,M6G,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,10160.0
33548,M6G,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,2910.0
33549,M6G,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,15180.0
33550,M6G,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,11045.0
33551,M6G,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,705.0
33552,M6G,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,1525.0
33553,M6G,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,1900.0
34017,M6H,Marital status,Total population 15 years and over by marital status,,,,,,37605.0
34018,M6H,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,,,,,18220.0
34019,M6H,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,14430.0
34020,M6H,Marital status,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,3790.0
34021,M6H,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,,,,,19385.0
34022,M6H,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,14400.0
34023,M6H,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,1175.0
34024,M6H,Marital status,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,2085.0
