Age,Gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan,Music,Pop,Night, Sadness or melancholy, While Traveling,Playlists,5,Never,None,Story telling,None,None,Very Satisfied
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan,Music,Pop,Night, Sadness or melancholy, While Traveling,Radio,5,Never,None,Story telling,None,None,Very Satisfied
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan,Music,Pop,Night, Sadness or melancholy,Workout session,recommendations,5,Never,None,Story telling,None,None,Very Satisfied
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan,Music,Pop,Night, Sadness or melancholy,Workout session,Playlists,5,Never,None,Story telling,None,None,Very Satisfied
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan,Music,Pop,Night, Sadness or melancholy,Workout session,Radio,5,Never,None,Story telling,None,None,Very Satisfied
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan,Music,Pop,Night, Sadness or melancholy,leisure time,recommendations,5,Never,None,Story telling,None,None,Very Satisfied
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan,Music,Pop,Night, Sadness or melancholy,leisure time,Playlists,5,Never,None,Story telling,None,None,Very Satisfied
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan,Music,Pop,Night, Sadness or melancholy,leisure time,Radio,5,Never,None,Story telling,None,None,Very Satisfied
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan,Music,Pop,Night,Social gatherings or parties,Office hours,recommendations,5,Never,None,Story telling,None,None,Very Satisfied
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan,Music,Pop,Night,Social gatherings or parties,Office hours,Playlists,5,Never,None,Story telling,None,None,Very Satisfied
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan,Music,Pop,Night,Social gatherings or parties,Office hours,Radio,5,Never,None,Story telling,None,None,Very Satisfied
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan,Music,Pop,Night,Social gatherings or parties, While Traveling,recommendations,5,Never,None,Story telling,None,None,Very Satisfied
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan,Music,Pop,Night,Social gatherings or parties, While Traveling,Playlists,5,Never,None,Story telling,None,None,Very Satisfied
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan,Music,Pop,Night,Social gatherings or parties, While Traveling,Radio,5,Never,None,Story telling,None,None,Very Satisfied
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan,Music,Pop,Night,Social gatherings or parties,Workout session,recommendations,5,Never,None,Story telling,None,None,Very Satisfied
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan,Music,Pop,Night,Social gatherings or parties,Workout session,Playlists,5,Never,None,Story telling,None,None,Very Satisfied
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan,Music,Pop,Night,Social gatherings or parties,Workout session,Radio,5,Never,None,Story telling,None,None,Very Satisfied
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan,Music,Pop,Night,Social gatherings or parties,leisure time,recommendations,5,Never,None,Story telling,None,None,Very Satisfied
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan,Music,Pop,Night,Social gatherings or parties,leisure time,Playlists,5,Never,None,Story telling,None,None,Very Satisfied
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan,Music,Pop,Night,Social gatherings or parties,leisure time,Radio,5,Never,None,Story telling,None,None,Very Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4,Rarely,None,Story telling,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Pop,Afternoon,Relaxation and stress relief,Office hours,recommendations,4,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Satisfied
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,classical,Night,Relaxation and stress relief,leisure time,recommendations,4,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,While Traveling,recommendations,3,Rarely,None,Interview,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,While Traveling,Playlists,3,Rarely,None,Interview,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,leisure time,recommendations,3,Rarely,None,Interview,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,leisure time,Playlists,3,Rarely,None,Interview,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning, Sadness or melancholy,While Traveling,recommendations,3,Rarely,None,Interview,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning, Sadness or melancholy,While Traveling,Playlists,3,Rarely,None,Interview,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning, Sadness or melancholy,leisure time,recommendations,3,Rarely,None,Interview,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning, Sadness or melancholy,leisure time,Playlists,3,Rarely,None,Interview,None,None,Ok
20-35,Female,More than 2 years,Computer or laptop,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,While Traveling,recommendations,3,Rarely,None,Interview,None,None,Ok
20-35,Female,More than 2 years,Computer or laptop,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,While Traveling,Playlists,3,Rarely,None,Interview,None,None,Ok
20-35,Female,More than 2 years,Computer or laptop,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,leisure time,recommendations,3,Rarely,None,Interview,None,None,Ok
20-35,Female,More than 2 years,Computer or laptop,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,leisure time,Playlists,3,Rarely,None,Interview,None,None,Ok
20-35,Female,More than 2 years,Computer or laptop,Free (ad-supported),No,None,Music,Melody,Morning, Sadness or melancholy,While Traveling,recommendations,3,Rarely,None,Interview,None,None,Ok
20-35,Female,More than 2 years,Computer or laptop,Free (ad-supported),No,None,Music,Melody,Morning, Sadness or melancholy,While Traveling,Playlists,3,Rarely,None,Interview,None,None,Ok
20-35,Female,More than 2 years,Computer or laptop,Free (ad-supported),No,None,Music,Melody,Morning, Sadness or melancholy,leisure time,recommendations,3,Rarely,None,Interview,None,None,Ok
20-35,Female,More than 2 years,Computer or laptop,Free (ad-supported),No,None,Music,Melody,Morning, Sadness or melancholy,leisure time,Playlists,3,Rarely,None,Interview,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Sadness or melancholy,leisure time,Playlists,4,Never,None,Educational,Both,Shorter,Satisfied
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Morning,Relaxation and stress relief,Office hours,recommendations,4,Never,None,None,None,None,Ok
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Morning,Relaxation and stress relief, While Traveling,recommendations,4,Never,None,None,None,None,Ok
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Morning,Uplifting and motivational,Office hours,recommendations,4,Never,None,None,None,None,Ok
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Morning,Uplifting and motivational, While Traveling,recommendations,4,Never,None,None,None,None,Ok
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Morning, Sadness or melancholy,Office hours,recommendations,4,Never,None,None,None,None,Ok
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Morning, Sadness or melancholy, While Traveling,recommendations,4,Never,None,None,None,None,Ok
20-35,Male,More than 2 years,Computer or laptop,Free (ad-supported),No,None,Music,Pop,Morning,Relaxation and stress relief,Office hours,recommendations,4,Never,None,None,None,None,Ok
20-35,Male,More than 2 years,Computer or laptop,Free (ad-supported),No,None,Music,Pop,Morning,Relaxation and stress relief, While Traveling,recommendations,4,Never,None,None,None,None,Ok
20-35,Male,More than 2 years,Computer or laptop,Free (ad-supported),No,None,Music,Pop,Morning,Uplifting and motivational,Office hours,recommendations,4,Never,None,None,None,None,Ok
20-35,Male,More than 2 years,Computer or laptop,Free (ad-supported),No,None,Music,Pop,Morning,Uplifting and motivational, While Traveling,recommendations,4,Never,None,None,None,None,Ok
20-35,Male,More than 2 years,Computer or laptop,Free (ad-supported),No,None,Music,Pop,Morning, Sadness or melancholy,Office hours,recommendations,4,Never,None,None,None,None,Ok
20-35,Male,More than 2 years,Computer or laptop,Free (ad-supported),No,None,Music,Pop,Morning, Sadness or melancholy, While Traveling,recommendations,4,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,Study Hours,Others,4,Rarely,None,Educational,Well known individuals,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief, While Traveling,Others,4,Rarely,None,Educational,Well known individuals,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,Workout session,Others,4,Rarely,None,Educational,Well known individuals,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,Others,4,Rarely,None,Educational,Well known individuals,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Uplifting and motivational,Study Hours,Others,4,Rarely,None,Educational,Well known individuals,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Uplifting and motivational, While Traveling,Others,4,Rarely,None,Educational,Well known individuals,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Uplifting and motivational,Workout session,Others,4,Rarely,None,Educational,Well known individuals,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Uplifting and motivational,leisure time,Others,4,Rarely,None,Educational,Well known individuals,Shorter,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation and stress relief,leisure time,recommendations,3,Rarely,Comedy,Story telling,Well known individuals,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Duo Plan,Music,Pop,Night,Relaxation and stress relief,While Traveling,recommendations,5,Rarely,Lifestyle and Health,Educational,Both,Shorter,Very Satisfied
20-35,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Duo Plan,Music,Pop,Night,Relaxation and stress relief,While Traveling,Playlists,5,Rarely,Lifestyle and Health,Educational,Both,Shorter,Very Satisfied
20-35,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Duo Plan,Music,Pop,Night,Relaxation and stress relief,leisure time,recommendations,5,Rarely,Lifestyle and Health,Educational,Both,Shorter,Very Satisfied
20-35,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Duo Plan,Music,Pop,Night,Relaxation and stress relief,leisure time,Playlists,5,Rarely,Lifestyle and Health,Educational,Both,Shorter,Very Satisfied
20-35,Female,More than 2 years,Computer or laptop,Premium (paid subscription),Yes,Duo Plan,Music,Pop,Night,Relaxation and stress relief,While Traveling,recommendations,5,Rarely,Lifestyle and Health,Educational,Both,Shorter,Very Satisfied
20-35,Female,More than 2 years,Computer or laptop,Premium (paid subscription),Yes,Duo Plan,Music,Pop,Night,Relaxation and stress relief,While Traveling,Playlists,5,Rarely,Lifestyle and Health,Educational,Both,Shorter,Very Satisfied
20-35,Female,More than 2 years,Computer or laptop,Premium (paid subscription),Yes,Duo Plan,Music,Pop,Night,Relaxation and stress relief,leisure time,recommendations,5,Rarely,Lifestyle and Health,Educational,Both,Shorter,Very Satisfied
20-35,Female,More than 2 years,Computer or laptop,Premium (paid subscription),Yes,Duo Plan,Music,Pop,Night,Relaxation and stress relief,leisure time,Playlists,5,Rarely,Lifestyle and Health,Educational,Both,Shorter,Very Satisfied
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4,Several times a week,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,4,Rarely,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4,Rarely,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Uplifting and motivational,While Traveling,recommendations,4,Rarely,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Uplifting and motivational,While Traveling,Playlists,4,Rarely,None,None,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,5,Rarely,None,Interview,None,None,Ok
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Kpop,Night,Relaxation and stress relief,Office hours,recommendations,5,Once a week,Comedy,Conversational,None,Shorter,Very Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Kpop,Night,Relaxation and stress relief,Office hours,Playlists,5,Once a week,Comedy,Conversational,None,Shorter,Very Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Kpop,Night,Relaxation and stress relief, While Traveling,recommendations,5,Once a week,Comedy,Conversational,None,Shorter,Very Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Kpop,Night,Relaxation and stress relief, While Traveling,Playlists,5,Once a week,Comedy,Conversational,None,Shorter,Very Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Kpop,Night,Relaxation and stress relief,Workout session,recommendations,5,Once a week,Comedy,Conversational,None,Shorter,Very Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Kpop,Night,Relaxation and stress relief,Workout session,Playlists,5,Once a week,Comedy,Conversational,None,Shorter,Very Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,4,Never,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,4,Never,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Uplifting and motivational,While Traveling,recommendations,4,Never,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Uplifting and motivational,leisure time,recommendations,4,Never,None,None,None,None,Ok
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4,Once a week,Health and Fitness,Conversational,Both,Shorter,Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,Workout session,Playlists,4,Once a week,Health and Fitness,Conversational,Both,Shorter,Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,4,Once a week,Health and Fitness,Conversational,Both,Shorter,Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Uplifting and motivational,While Traveling,Playlists,4,Once a week,Health and Fitness,Conversational,Both,Shorter,Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Uplifting and motivational,Workout session,Playlists,4,Once a week,Health and Fitness,Conversational,Both,Shorter,Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Uplifting and motivational,leisure time,Playlists,4,Once a week,Health and Fitness,Conversational,Both,Shorter,Satisfied
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,classical,Night,Relaxation and stress relief,leisure time,recommendations,1,Never,None,None,None,None,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Relaxation and stress relief,Office hours,recommendations,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Relaxation and stress relief,Office hours,Playlists,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Relaxation and stress relief,Office hours,Radio,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Relaxation and stress relief,Study Hours,recommendations,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Relaxation and stress relief,Study Hours,Playlists,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Relaxation and stress relief,Study Hours,Radio,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Relaxation and stress relief, While Traveling,recommendations,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Relaxation and stress relief, While Traveling,Playlists,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Relaxation and stress relief, While Traveling,Radio,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Relaxation and stress relief,Workout session,recommendations,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Relaxation and stress relief,Workout session,Playlists,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Relaxation and stress relief,Workout session,Radio,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Relaxation and stress relief,leisure time,recommendations,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Relaxation and stress relief,leisure time,Playlists,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Relaxation and stress relief,leisure time,Radio,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Uplifting and motivational,Office hours,recommendations,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Uplifting and motivational,Office hours,Playlists,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Uplifting and motivational,Office hours,Radio,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Uplifting and motivational,Study Hours,recommendations,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Uplifting and motivational,Study Hours,Playlists,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Uplifting and motivational,Study Hours,Radio,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Uplifting and motivational, While Traveling,recommendations,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Uplifting and motivational, While Traveling,Playlists,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Uplifting and motivational, While Traveling,Radio,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Uplifting and motivational,Workout session,recommendations,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Uplifting and motivational,Workout session,Playlists,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Uplifting and motivational,Workout session,Radio,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Uplifting and motivational,leisure time,recommendations,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Uplifting and motivational,leisure time,Playlists,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Uplifting and motivational,leisure time,Radio,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Social gatherings or parties,Office hours,recommendations,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Social gatherings or parties,Office hours,Playlists,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Social gatherings or parties,Office hours,Radio,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Social gatherings or parties,Study Hours,recommendations,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Social gatherings or parties,Study Hours,Playlists,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Social gatherings or parties,Study Hours,Radio,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Social gatherings or parties, While Traveling,recommendations,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Social gatherings or parties, While Traveling,Playlists,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Social gatherings or parties, While Traveling,Radio,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Social gatherings or parties,Workout session,recommendations,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Social gatherings or parties,Workout session,Playlists,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Social gatherings or parties,Workout session,Radio,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Social gatherings or parties,leisure time,recommendations,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Social gatherings or parties,leisure time,Playlists,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Social gatherings or parties,leisure time,Radio,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Computer or laptop,Premium (paid subscription),No,None,Music,All,Night,Relaxation and stress relief,Office hours,recommendations,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Computer or laptop,Premium (paid subscription),No,None,Music,All,Night,Relaxation and stress relief,Office hours,Playlists,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Computer or laptop,Premium (paid subscription),No,None,Music,All,Night,Relaxation and stress relief,Office hours,Radio,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Computer or laptop,Premium (paid subscription),No,None,Music,All,Night,Relaxation and stress relief,Study Hours,recommendations,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Computer or laptop,Premium (paid subscription),No,None,Music,All,Night,Relaxation and stress relief,Study Hours,Playlists,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Computer or laptop,Premium (paid subscription),No,None,Music,All,Night,Relaxation and stress relief,Study Hours,Radio,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Computer or laptop,Premium (paid subscription),No,None,Music,All,Night,Relaxation and stress relief, While Traveling,recommendations,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Computer or laptop,Premium (paid subscription),No,None,Music,All,Night,Relaxation and stress relief, While Traveling,Playlists,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Computer or laptop,Premium (paid subscription),No,None,Music,All,Night,Relaxation and stress relief, While Traveling,Radio,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Male,More than 2 years,Computer or laptop,Premium (paid subscription),No,None,Music,All,Night,Relaxation and stress relief,Workout session,recommendations,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
