_id,Year,BranchCode,Registrations
261,2014,HS,493
262,2014,HW,468
263,2014,JD,1488
264,2014,JO,680
265,2014,JS,1099
266,2014,KE,1323
267,2014,LB,783
268,2014,LE,1147
269,2014,LO,1577
270,2014,LS,3243
271,2014,MA,852
272,2014,MAL,2728
273,2014,MAS,1794
274,2014,MCG,1351
275,2014,MD,798
276,2014,MI,834
277,2014,MP,556
278,2014,MRV,1149
279,2014,MS,1152
280,2014,ND,2553
281,2014,NE,383
282,2014,NT,527
283,2014,OV,606
284,2014,PA,1674
285,2014,PE,282
286,2014,PK,2014
287,2014,PL,1561
288,2014,PM,816
289,2014,PU,842
290,2014,PV,701
291,2014,QS,473
292,2014,RD,962
293,2014,RI,2549
294,2014,RN,1823
295,2014,RX,406
296,2014,SA,1254
297,2014,SB,118
298,2014,SI,319
299,2014,SJ,1594
300,2014,SL,1275
301,2014,SP,638
302,2014,ST,826
303,2014,SW,81
304,2014,SWS,1415
305,2014,TA,453
306,2014,TH,1612
307,2014,TOD,197
308,2014,TRL,11308
309,2014,VV,394
310,2014,WE,809
311,2014,WP,495
312,2014,WS,2149
313,2014,WY,943
314,2014,YO,1011
315,2014,YW,2874
316,2015,AB,4272
317,2015,ACD,1448
318,2015,AD,519
319,2015,AG,2919
320,2015,AH,545
321,2015,AL,1
322,2015,AN,915
323,2015,AP,709
324,2015,BB,753
325,2015,BC,1109
326,2015,BD,707
327,2015,BE,1546
328,2015,BF,2119
329,2015,BKONE,139
330,2015,BKTWO,16
331,2015,BL,3111
332,2015,BR,1725
333,2015,BRW,1729
334,2015,BUR,766
335,2015,CC,659
336,2015,CE,1756
337,2015,CED,3824
338,2015,CH,1934
339,2015,CL,13064
340,2015,CS,949
341,2015,DA,1080
342,2015,DM,2152
343,2015,DO,1669
344,2015,DP,1790
345,2015,DR,1305
346,2015,DS,10
347,2015,DT,242
348,2015,DU,814
349,2015,EA,2693
350,2015,EB,398
351,2015,EG,524
352,2015,EN,1854
353,2015,ES,1398
354,2015,FH,1004
355,2015,FO,3732
356,2015,FP,1058
357,2015,FV,5792
358,2015,GE,511
359,2015,GHP,777
360,2015,GW,389
361,2015,HB,552
362,2015,HC,702
363,2015,HIL,763
364,2015,HLS,245
365,2015,HP,1200
366,2015,HS,457
367,2015,HW,510
368,2015,JD,1202
369,2015,JO,659
370,2015,JS,1065
371,2015,KE,1391
372,2015,LB,663
373,2015,LD,1
374,2015,LE,1135
375,2015,LO,1526
376,2015,LS,3219
377,2015,MA,894
378,2015,MAL,2219
379,2015,MAS,1790
380,2015,MCG,1287
381,2015,MD,728
382,2015,ME,1
383,2015,MI,846
384,2015,MP,546
385,2015,MRV,1181
386,2015,MS,1005
387,2015,ND,2466
388,2015,NE,354
389,2015,NT,517
390,2015,OV,509
391,2015,PA,1449
392,2015,PE,245
393,2015,PK,1960
394,2015,PL,1564
395,2015,PM,813
396,2015,PU,843
397,2015,PV,482
398,2015,QS,437
399,2015,RD,881
400,2015,RI,2841
401,2015,RN,1833
402,2015,RX,400
403,2015,SA,1073
404,2015,SB,107
405,2015,SC,2242
406,2015,SI,284
407,2015,SJ,1427
408,2015,SL,1278
409,2015,SP,737
410,2015,ST,1052
411,2015,SW,85
412,2015,SWS,1239
413,2015,TA,421
414,2015,TH,1507
415,2015,TOD,170
416,2015,TRL,11617
417,2015,VV,465
418,2015,WE,979
419,2015,WP,426
420,2015,WS,2005
421,2015,WY,1032
422,2015,YO,1012
423,2015,YW,2452
424,2016,AB,4474
425,2016,ACD,1592
426,2016,AD,526
427,2016,AG,2318
428,2016,AH,567
429,2016,AL,1
430,2016,AN,1058
431,2016,AP,796
432,2016,BB,770
433,2016,BC,1082
434,2016,BD,686
435,2016,BE,1634
436,2016,BF,2022
437,2016,BKONE,79
438,2016,BKTWO,24
439,2016,BL,3076
440,2016,BR,1950
441,2016,BRW,1965
442,2016,BUR,802
443,2016,CC,789
444,2016,CE,1614
445,2016,CED,3861
446,2016,CH,2655
447,2016,CL,12204
448,2016,CS,1037
449,2016,DA,1078
450,2016,DM,2062
451,2016,DO,1549
452,2016,DP,1798
453,2016,DR,1269
454,2016,DS,22
455,2016,DT,280
456,2016,DU,834
457,2016,EA,2849
458,2016,EB,411
459,2016,EG,548
460,2016,EN,1924
461,2016,ES,719
462,2016,FH,866
463,2016,FO,3485
464,2016,FP,1065
465,2016,FV,5805
466,2016,GE,634
467,2016,GHP,818
468,2016,GW,357
469,2016,HB,691
470,2016,HC,645
471,2016,HIL,777
472,2016,HLS,283
473,2016,HP,1275
474,2016,HS,449
475,2016,HW,611
476,2016,JD,1211
477,2016,JO,793
478,2016,JS,1042
479,2016,KE,1337
480,2016,LB,763
481,2016,LE,1185
482,2016,LO,1503
483,2016,LS,3222
484,2016,MA,960
485,2016,MAL,2404
486,2016,MAS,1818
487,2016,MCG,1259
488,2016,MD,804
489,2016,MI,898
490,2016,MP,656
491,2016,MRV,1266
492,2016,MS,1168
493,2016,ND,3050
494,2016,NE,386
495,2016,NT,624
496,2016,OV,571
497,2016,PA,1723
498,2016,PE,290
499,2016,PK,1909
500,2016,PL,1540
501,2016,PM,833
502,2016,PU,737
