,Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Count
69,M1B,Religion,Total population by selected religions - 20% Sample Data,Serbian Orthodox,,,,,40.0
70,M1C,Religion,Total population by selected religions - 20% Sample Data,,,,,,34780.0
71,M1C,Religion,Total population by selected religions - 20% Sample Data,Roman Catholic,,,,,10745.0
72,M1C,Religion,Total population by selected religions - 20% Sample Data,No religion,,,,,5275.0
73,M1C,Religion,Total population by selected religions - 20% Sample Data,United Church,,,,,2885.0
74,M1C,Religion,Total population by selected religions - 20% Sample Data,Anglican,,,,,3455.0
75,M1C,Religion,Total population by selected religions - 20% Sample Data,Christian not included elsewhere,,,,,1245.0
76,M1C,Religion,Total population by selected religions - 20% Sample Data,Baptist,,,,,830.0
77,M1C,Religion,Total population by selected religions - 20% Sample Data,Lutheran,,,,,555.0
78,M1C,Religion,Total population by selected religions - 20% Sample Data,Muslim,,,,,1895.0
79,M1C,Religion,Total population by selected religions - 20% Sample Data,Protestant not included elsewhere,,,,,565.0
80,M1C,Religion,Total population by selected religions - 20% Sample Data,Presbyterian,,,,,1130.0
81,M1C,Religion,Total population by selected religions - 20% Sample Data,Pentecostal,,,,,540.0
82,M1C,Religion,Total population by selected religions - 20% Sample Data,Jewish,,,,,45.0
83,M1C,Religion,Total population by selected religions - 20% Sample Data,Buddhist,,,,,430.0
84,M1C,Religion,Total population by selected religions - 20% Sample Data,Hindu,,,,,2400.0
85,M1C,Religion,Total population by selected religions - 20% Sample Data,Sikh,,,,,255.0
86,M1C,Religion,Total population by selected religions - 20% Sample Data,Greek Orthodox,,,,,710.0
87,M1C,Religion,Total population by selected religions - 20% Sample Data,Mennonite,,,,,0.0
88,M1C,Religion,Total population by selected religions - 20% Sample Data,Orthodox not included elsewhere,,,,,710.0
89,M1C,Religion,Total population by selected religions - 20% Sample Data,Jehovah's Witnesses,,,,,95.0
90,M1C,Religion,Total population by selected religions - 20% Sample Data,Ukrainian Catholic,,,,,85.0
91,M1C,Religion,Total population by selected religions - 20% Sample Data,Church of Jesus Christ of Latter-day Saints (Mormons),,,,,25.0
92,M1C,Religion,Total population by selected religions - 20% Sample Data,Salvation Army,,,,,20.0
93,M1C,Religion,Total population by selected religions - 20% Sample Data,Christian Reformed Church,,,,,15.0
94,M1C,Religion,Total population by selected religions - 20% Sample Data,Evangelical Missionary Church,,,,,20.0
95,M1C,Religion,Total population by selected religions - 20% Sample Data,Christian and Missionary Alliance,,,,,20.0
96,M1C,Religion,Total population by selected religions - 20% Sample Data,Adventist,,,,,160.0
97,M1C,Religion,Total population by selected religions - 20% Sample Data,Non-denominational,,,,,40.0
98,M1C,Religion,Total population by selected religions - 20% Sample Data,Ukrainian Orthodox,,,,,10.0
99,M1C,Religion,Total population by selected religions - 20% Sample Data,Aboriginal spirituality,,,,,0.0
100,M1C,Religion,Total population by selected religions - 20% Sample Data,Hutterite,,,,,0.0
101,M1C,Religion,Total population by selected religions - 20% Sample Data,Methodist,,,,,120.0
102,M1C,Religion,Total population by selected religions - 20% Sample Data,Pagan,,,,,0.0
103,M1C,Religion,Total population by selected religions - 20% Sample Data,Brethren in Christ,,,,,10.0
104,M1C,Religion,Total population by selected religions - 20% Sample Data,Serbian Orthodox,,,,,20.0
105,M1G,Religion,Total population by selected religions - 20% Sample Data,,,,,,30385.0
106,M1G,Religion,Total population by selected religions - 20% Sample Data,Roman Catholic,,,,,6905.0
107,M1G,Religion,Total population by selected religions - 20% Sample Data,No religion,,,,,3400.0
108,M1G,Religion,Total population by selected religions - 20% Sample Data,United Church,,,,,1340.0
109,M1G,Religion,Total population by selected religions - 20% Sample Data,Anglican,,,,,2015.0
110,M1G,Religion,Total population by selected religions - 20% Sample Data,Christian not included elsewhere,,,,,1345.0
111,M1G,Religion,Total population by selected religions - 20% Sample Data,Baptist,,,,,610.0
112,M1G,Religion,Total population by selected religions - 20% Sample Data,Lutheran,,,,,300.0
113,M1G,Religion,Total population by selected religions - 20% Sample Data,Muslim,,,,,4910.0
114,M1G,Religion,Total population by selected religions - 20% Sample Data,Protestant not included elsewhere,,,,,465.0
115,M1G,Religion,Total population by selected religions - 20% Sample Data,Presbyterian,,,,,440.0
116,M1G,Religion,Total population by selected religions - 20% Sample Data,Pentecostal,,,,,640.0
117,M1G,Religion,Total population by selected religions - 20% Sample Data,Jewish,,,,,50.0
118,M1G,Religion,Total population by selected religions - 20% Sample Data,Buddhist,,,,,195.0
119,M1G,Religion,Total population by selected religions - 20% Sample Data,Hindu,,,,,5210.0
120,M1G,Religion,Total population by selected religions - 20% Sample Data,Sikh,,,,,180.0
121,M1G,Religion,Total population by selected religions - 20% Sample Data,Greek Orthodox,,,,,775.0
122,M1G,Religion,Total population by selected religions - 20% Sample Data,Mennonite,,,,,0.0
123,M1G,Religion,Total population by selected religions - 20% Sample Data,Orthodox not included elsewhere,,,,,620.0
124,M1G,Religion,Total population by selected religions - 20% Sample Data,Jehovah's Witnesses,,,,,60.0
125,M1G,Religion,Total population by selected religions - 20% Sample Data,Ukrainian Catholic,,,,,35.0
126,M1G,Religion,Total population by selected religions - 20% Sample Data,Church of Jesus Christ of Latter-day Saints (Mormons),,,,,40.0
127,M1G,Religion,Total population by selected religions - 20% Sample Data,Salvation Army,,,,,65.0
128,M1G,Religion,Total population by selected religions - 20% Sample Data,Christian Reformed Church,,,,,10.0
129,M1G,Religion,Total population by selected religions - 20% Sample Data,Evangelical Missionary Church,,,,,10.0
130,M1G,Religion,Total population by selected religions - 20% Sample Data,Christian and Missionary Alliance,,,,,0.0
131,M1G,Religion,Total population by selected religions - 20% Sample Data,Adventist,,,,,150.0
132,M1G,Religion,Total population by selected religions - 20% Sample Data,Non-denominational,,,,,0.0
133,M1G,Religion,Total population by selected religions - 20% Sample Data,Ukrainian Orthodox,,,,,0.0
134,M1G,Religion,Total population by selected religions - 20% Sample Data,Aboriginal spirituality,,,,,0.0
135,M1G,Religion,Total population by selected religions - 20% Sample Data,Hutterite,,,,,0.0
136,M1G,Religion,Total population by selected religions - 20% Sample Data,Methodist,,,,,115.0
137,M1G,Religion,Total population by selected religions - 20% Sample Data,Pagan,,,,,0.0
138,M1G,Religion,Total population by selected religions - 20% Sample Data,Brethren in Christ,,,,,35.0
139,M1G,Religion,Total population by selected religions - 20% Sample Data,Serbian Orthodox,,,,,0.0
140,M1H,Religion,Total population by selected religions - 20% Sample Data,,,,,,20935.0
141,M1H,Religion,Total population by selected religions - 20% Sample Data,Roman Catholic,,,,,5075.0
142,M1H,Religion,Total population by selected religions - 20% Sample Data,No religion,,,,,3815.0
143,M1H,Religion,Total population by selected religions - 20% Sample Data,United Church,,,,,1120.0
144,M1H,Religion,Total population by selected religions - 20% Sample Data,Anglican,,,,,1425.0
145,M1H,Religion,Total population by selected religions - 20% Sample Data,Christian not included elsewhere,,,,,730.0
146,M1H,Religion,Total population by selected religions - 20% Sample Data,Baptist,,,,,535.0
147,M1H,Religion,Total population by selected religions - 20% Sample Data,Lutheran,,,,,215.0
148,M1H,Religion,Total population by selected religions - 20% Sample Data,Muslim,,,,,1260.0
149,M1H,Religion,Total population by selected religions - 20% Sample Data,Protestant not included elsewhere,,,,,320.0
150,M1H,Religion,Total population by selected religions - 20% Sample Data,Presbyterian,,,,,305.0
151,M1H,Religion,Total population by selected religions - 20% Sample Data,Pentecostal,,,,,320.0
