,Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Count
1580,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",5 to 9 years,,,,2410.0
1581,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",10 to 14 years,,,,2485.0
1582,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",15 to 19 years,,,,2505.0
1583,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",20 to 24 years,,,,2590.0
1584,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",25 to 29 years,,,,2235.0
1585,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",30 to 34 years,,,,2120.0
1586,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",35 to 39 years,,,,2230.0
1587,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",40 to 44 years,,,,2430.0
1588,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",45 to 49 years,,,,2285.0
1589,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",50 to 54 years,,,,2090.0
1590,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",55 to 59 years,,,,1970.0
1591,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",60 to 64 years,,,,1355.0
1592,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",65 to 69 years,,,,965.0
1593,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",70 to 74 years,,,,690.0
1594,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",75 to 79 years,,,,405.0
1595,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",80 to 84 years,,,,250.0
1596,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",85 years and over,,,,140.0
1597,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",,,,,33825.0
1598,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",0 to 4 years,,,,2170.0
1599,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",5 to 9 years,,,,2205.0
1600,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",10 to 14 years,,,,2440.0
1601,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",15 to 19 years,,,,2420.0
1602,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",20 to 24 years,,,,2555.0
1603,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",25 to 29 years,,,,2555.0
1604,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",30 to 34 years,,,,2415.0
1605,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",35 to 39 years,,,,2525.0
1606,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",40 to 44 years,,,,2765.0
1607,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",45 to 49 years,,,,2555.0
1608,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",50 to 54 years,,,,2335.0
1609,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",55 to 59 years,,,,2200.0
1610,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",60 to 64 years,,,,1585.0
1611,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",65 to 69 years,,,,1100.0
1612,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",70 to 74 years,,,,770.0
1613,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",75 to 79 years,,,,590.0
1614,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",80 to 84 years,,,,355.0
1615,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",85 years and over,,,,280.0
1616,M1B,Population Characteristics,Total population 15 years and over by legal marital status - 100% data,,,,,,51275.0
1617,M1B,Population Characteristics,Total population 15 years and over by legal marital status - 100% data,Never legally married (single),,,,,18125.0
1618,M1B,Population Characteristics,Total population 15 years and over by legal marital status - 100% data,Legally married (and not separated),,,,,26430.0
1619,M1B,Population Characteristics,Total population 15 years and over by legal marital status - 100% data,"Separated, but still legally married",,,,,1800.0
1620,M1B,Population Characteristics,Total population 15 years and over by legal marital status - 100% data,Divorced,,,,,2620.0
1621,M1B,Population Characteristics,Total population 15 years and over by legal marital status - 100% data,Widowed,,,,,2290.0
1622,M1B,Population Characteristics,Total population 15 years and over by common-law status - 100% data,,,,,,51275.0
1623,M1B,Population Characteristics,Total population 15 years and over by common-law status - 100% data,Not in a common-law relationship,,,,,49640.0
1624,M1B,Population Characteristics,Total population 15 years and over by common-law status - 100% data,In a common-law relationship,,,,,1635.0
3152,M1C,Population Characteristics,"Population, 2006 - 100% data",,,,,,34668.0
3153,M1C,Population Characteristics,Total population by sex and age groups - 100% data,,,,,,34670.0
3154,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",,,,,17020.0
3155,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",0 to 4 years,,,,790.0
3156,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",5 to 9 years,,,,985.0
3157,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",10 to 14 years,,,,1230.0
3158,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",15 to 19 years,,,,1400.0
3159,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",20 to 24 years,,,,1480.0
3160,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",25 to 29 years,,,,1060.0
3161,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",30 to 34 years,,,,795.0
3162,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",35 to 39 years,,,,925.0
3163,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",40 to 44 years,,,,1230.0
3164,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",45 to 49 years,,,,1395.0
3165,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",50 to 54 years,,,,1385.0
3166,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",55 to 59 years,,,,1395.0
3167,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",60 to 64 years,,,,1040.0
3168,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",65 to 69 years,,,,815.0
3169,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",70 to 74 years,,,,495.0
3170,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",75 to 79 years,,,,310.0
3171,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",80 to 84 years,,,,185.0
3172,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",85 years and over,,,,80.0
3173,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",,,,,17650.0
3174,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",0 to 4 years,,,,725.0
3175,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",5 to 9 years,,,,945.0
3176,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",10 to 14 years,,,,1155.0
3177,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",15 to 19 years,,,,1285.0
3178,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",20 to 24 years,,,,1390.0
3179,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",25 to 29 years,,,,990.0
3180,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",30 to 34 years,,,,875.0
3181,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",35 to 39 years,,,,1045.0
3182,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",40 to 44 years,,,,1460.0
3183,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",45 to 49 years,,,,1645.0
3184,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",50 to 54 years,,,,1610.0
3185,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",55 to 59 years,,,,1460.0
3186,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",60 to 64 years,,,,1050.0
3187,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",65 to 69 years,,,,670.0
3188,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",70 to 74 years,,,,475.0
3189,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",75 to 79 years,,,,340.0
3190,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",80 to 84 years,,,,280.0
3191,M1C,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",85 years and over,,,,255.0
3192,M1C,Population Characteristics,Total population 15 years and over by legal marital status - 100% data,,,,,,28830.0
3193,M1C,Population Characteristics,Total population 15 years and over by legal marital status - 100% data,Never legally married (single),,,,,9365.0
3194,M1C,Population Characteristics,Total population 15 years and over by legal marital status - 100% data,Legally married (and not separated),,,,,16130.0
3195,M1C,Population Characteristics,Total population 15 years and over by legal marital status - 100% data,"Separated, but still legally married",,,,,635.0
3196,M1C,Population Characteristics,Total population 15 years and over by legal marital status - 100% data,Divorced,,,,,1355.0
3197,M1C,Population Characteristics,Total population 15 years and over by legal marital status - 100% data,Widowed,,,,,1350.0
3198,M1C,Population Characteristics,Total population 15 years and over by common-law status - 100% data,,,,,,28830.0
3199,M1C,Population Characteristics,Total population 15 years and over by common-law status - 100% data,Not in a common-law relationship,,,,,27785.0
3200,M1C,Population Characteristics,Total population 15 years and over by common-law status - 100% data,In a common-law relationship,,,,,1045.0
4728,M1G,Population Characteristics,"Population, 2006 - 100% data",,,,,,29476.0
4729,M1G,Population Characteristics,Total population by sex and age groups - 100% data,,,,,,29475.0
4730,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",,,,,14360.0
4731,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",0 to 4 years,,,,1065.0
4732,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",5 to 9 years,,,,1170.0
4733,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",10 to 14 years,,,,1100.0
4734,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",15 to 19 years,,,,1005.0
4735,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",20 to 24 years,,,,920.0
4736,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",25 to 29 years,,,,840.0
4737,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",30 to 34 years,,,,970.0
4738,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",35 to 39 years,,,,1070.0
4739,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",40 to 44 years,,,,1225.0
4740,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",45 to 49 years,,,,1070.0
4741,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",50 to 54 years,,,,860.0
4742,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",55 to 59 years,,,,710.0
4743,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",60 to 64 years,,,,570.0
4744,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",65 to 69 years,,,,520.0
4745,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",70 to 74 years,,,,515.0
4746,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",75 to 79 years,,,,420.0
4747,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",80 to 84 years,,,,215.0
4748,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",85 years and over,,,,105.0
4749,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",,,,,15115.0
4750,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",0 to 4 years,,,,1010.0
4751,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",5 to 9 years,,,,1070.0
4752,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",10 to 14 years,,,,1015.0
4753,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",15 to 19 years,,,,915.0
4754,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",20 to 24 years,,,,980.0
4755,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",25 to 29 years,,,,1070.0
4756,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",30 to 34 years,,,,1060.0
4757,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",35 to 39 years,,,,1115.0
4758,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",40 to 44 years,,,,1170.0
4759,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",45 to 49 years,,,,1060.0
4760,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",50 to 54 years,,,,875.0
4761,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",55 to 59 years,,,,790.0
4762,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",60 to 64 years,,,,635.0
4763,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",65 to 69 years,,,,705.0
4764,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",70 to 74 years,,,,625.0
4765,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",75 to 79 years,,,,495.0
4766,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",80 to 84 years,,,,345.0
4767,M1G,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",85 years and over,,,,195.0
4768,M1G,Population Characteristics,Total population 15 years and over by legal marital status - 100% data,,,,,,23045.0
4769,M1G,Population Characteristics,Total population 15 years and over by legal marital status - 100% data,Never legally married (single),,,,,7015.0
4770,M1G,Population Characteristics,Total population 15 years and over by legal marital status - 100% data,Legally married (and not separated),,,,,12265.0
4771,M1G,Population Characteristics,Total population 15 years and over by legal marital status - 100% data,"Separated, but still legally married",,,,,835.0
4772,M1G,Population Characteristics,Total population 15 years and over by legal marital status - 100% data,Divorced,,,,,1360.0
4773,M1G,Population Characteristics,Total population 15 years and over by legal marital status - 100% data,Widowed,,,,,1570.0
4774,M1G,Population Characteristics,Total population 15 years and over by common-law status - 100% data,,,,,,23045.0
4775,M1G,Population Characteristics,Total population 15 years and over by common-law status - 100% data,Not in a common-law relationship,,,,,22155.0
4776,M1G,Population Characteristics,Total population 15 years and over by common-law status - 100% data,In a common-law relationship,,,,,890.0
6304,M1H,Population Characteristics,"Population, 2006 - 100% data",,,,,,23244.0
6305,M1H,Population Characteristics,Total population by sex and age groups - 100% data,,,,,,23245.0
6306,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",,,,,11300.0
6307,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",0 to 4 years,,,,705.0
6308,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",5 to 9 years,,,,700.0
6309,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",10 to 14 years,,,,780.0
6310,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",15 to 19 years,,,,725.0
6311,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",20 to 24 years,,,,820.0
6312,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",25 to 29 years,,,,895.0
6313,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",30 to 34 years,,,,1010.0
6314,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",35 to 39 years,,,,925.0
6315,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",40 to 44 years,,,,960.0
6316,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",45 to 49 years,,,,795.0
6317,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",50 to 54 years,,,,655.0
6318,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",55 to 59 years,,,,500.0
6319,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",60 to 64 years,,,,420.0
6320,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",65 to 69 years,,,,360.0
6321,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",70 to 74 years,,,,400.0
6322,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",75 to 79 years,,,,335.0
6323,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",80 to 84 years,,,,210.0
6324,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",85 years and over,,,,100.0
6325,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",,,,,11940.0
6326,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",0 to 4 years,,,,690.0
6327,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",5 to 9 years,,,,630.0
6328,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",10 to 14 years,,,,615.0
6329,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",15 to 19 years,,,,625.0
6330,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",20 to 24 years,,,,875.0
6331,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",25 to 29 years,,,,1025.0
6332,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",30 to 34 years,,,,1085.0
6333,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",35 to 39 years,,,,1000.0
6334,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",40 to 44 years,,,,945.0
6335,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",45 to 49 years,,,,815.0
6336,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",50 to 54 years,,,,710.0
6337,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",55 to 59 years,,,,585.0
6338,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",60 to 64 years,,,,520.0
6339,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",65 to 69 years,,,,485.0
6340,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",70 to 74 years,,,,475.0
6341,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",75 to 79 years,,,,410.0
6342,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",80 to 84 years,,,,255.0
6343,M1H,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",85 years and over,,,,195.0
6344,M1H,Population Characteristics,Total population 15 years and over by legal marital status - 100% data,,,,,,19130.0
6345,M1H,Population Characteristics,Total population 15 years and over by legal marital status - 100% data,Never legally married (single),,,,,6030.0
6346,M1H,Population Characteristics,Total population 15 years and over by legal marital status - 100% data,Legally married (and not separated),,,,,10225.0
