Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Counts
M1V,Population Characteristics,Land area in square kilometres,,,,,,...
M1W,Population Characteristics,Population; 2016,,,,,,48471
M1W,Population Characteristics,Population; 2011,,,,,,...
M1W,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M1W,Population Characteristics,Total private dwellings,,,,,,16597
M1W,Population Characteristics,Private dwellings occupied by usual residents,,,,,,16173
M1W,Population Characteristics,Population density per square kilometre,,,,,,...
M1W,Population Characteristics,Land area in square kilometres,,,,,,...
M1X,Population Characteristics,Population; 2016,,,,,,15097
M1X,Population Characteristics,Population; 2011,,,,,,...
M1X,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M1X,Population Characteristics,Total private dwellings,,,,,,3739
M1X,Population Characteristics,Private dwellings occupied by usual residents,,,,,,3649
M1X,Population Characteristics,Population density per square kilometre,,,,,,...
M1X,Population Characteristics,Land area in square kilometres,,,,,,...
M2H,Population Characteristics,Population; 2016,,,,,,24497
M2H,Population Characteristics,Population; 2011,,,,,,...
M2H,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M2H,Population Characteristics,Total private dwellings,,,,,,9093
M2H,Population Characteristics,Private dwellings occupied by usual residents,,,,,,8700
M2H,Population Characteristics,Population density per square kilometre,,,,,,...
M2H,Population Characteristics,Land area in square kilometres,,,,,,...
M2J,Population Characteristics,Population; 2016,,,,,,58293
M2J,Population Characteristics,Population; 2011,,,,,,...
M2J,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M2J,Population Characteristics,Total private dwellings,,,,,,22524
M2J,Population Characteristics,Private dwellings occupied by usual residents,,,,,,21876
M2J,Population Characteristics,Population density per square kilometre,,,,,,...
M2J,Population Characteristics,Land area in square kilometres,,,,,,...
M2K,Population Characteristics,Population; 2016,,,,,,23852
M2K,Population Characteristics,Population; 2011,,,,,,...
M2K,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M2K,Population Characteristics,Total private dwellings,,,,,,11147
M2K,Population Characteristics,Private dwellings occupied by usual residents,,,,,,10540
M2K,Population Characteristics,Population density per square kilometre,,,,,,...
M2K,Population Characteristics,Land area in square kilometres,,,,,,...
M2L,Population Characteristics,Population; 2016,,,,,,11717
M2L,Population Characteristics,Population; 2011,,,,,,...
M2L,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M2L,Population Characteristics,Total private dwellings,,,,,,4154
M2L,Population Characteristics,Private dwellings occupied by usual residents,,,,,,3974
M2L,Population Characteristics,Population density per square kilometre,,,,,,...
M2L,Population Characteristics,Land area in square kilometres,,,,,,...
M2M,Population Characteristics,Population; 2016,,,,,,32320
M2M,Population Characteristics,Population; 2011,,,,,,...
M2M,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M2M,Population Characteristics,Total private dwellings,,,,,,13086
M2M,Population Characteristics,Private dwellings occupied by usual residents,,,,,,12399
M2M,Population Characteristics,Population density per square kilometre,,,,,,...
M2M,Population Characteristics,Land area in square kilometres,,,,,,...
M2N,Population Characteristics,Population; 2016,,,,,,75897
M2N,Population Characteristics,Population; 2011,,,,,,...
M2N,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M2N,Population Characteristics,Total private dwellings,,,,,,36123
M2N,Population Characteristics,Private dwellings occupied by usual residents,,,,,,33765
M2N,Population Characteristics,Population density per square kilometre,,,,,,...
M2N,Population Characteristics,Land area in square kilometres,,,,,,...
M2P,Population Characteristics,Population; 2016,,,,,,7843
M2P,Population Characteristics,Population; 2011,,,,,,...
M2P,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M2P,Population Characteristics,Total private dwellings,,,,,,3155
M2P,Population Characteristics,Private dwellings occupied by usual residents,,,,,,3020
M2P,Population Characteristics,Population density per square kilometre,,,,,,...
M2P,Population Characteristics,Land area in square kilometres,,,,,,...
M2R,Population Characteristics,Population; 2016,,,,,,40792
M2R,Population Characteristics,Population; 2011,,,,,,...
M2R,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M2R,Population Characteristics,Total private dwellings,,,,,,16062
M2R,Population Characteristics,Private dwellings occupied by usual residents,,,,,,15575
M2R,Population Characteristics,Population density per square kilometre,,,,,,...
M2R,Population Characteristics,Land area in square kilometres,,,,,,...
M3A,Population Characteristics,Population; 2016,,,,,,34615
M3A,Population Characteristics,Population; 2011,,,,,,...
M3A,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M3A,Population Characteristics,Total private dwellings,,,,,,13847
M3A,Population Characteristics,Private dwellings occupied by usual residents,,,,,,13241
M3A,Population Characteristics,Population density per square kilometre,,,,,,...
M3A,Population Characteristics,Land area in square kilometres,,,,,,...
M3B,Population Characteristics,Population; 2016,,,,,,13324
M3B,Population Characteristics,Population; 2011,,,,,,...
M3B,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M3B,Population Characteristics,Total private dwellings,,,,,,5193
M3B,Population Characteristics,Private dwellings occupied by usual residents,,,,,,5001
M3B,Population Characteristics,Population density per square kilometre,,,,,,...
M3B,Population Characteristics,Land area in square kilometres,,,,,,...
M3C,Population Characteristics,Population; 2016,,,,,,39153
M3C,Population Characteristics,Population; 2011,,,,,,...
M3C,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M3C,Population Characteristics,Total private dwellings,,,,,,16199
M3C,Population Characteristics,Private dwellings occupied by usual residents,,,,,,15851
M3C,Population Characteristics,Population density per square kilometre,,,,,,...
M3C,Population Characteristics,Land area in square kilometres,,,,,,...
M3H,Population Characteristics,Population; 2016,,,,,,37011
M3H,Population Characteristics,Population; 2011,,,,,,...
M3H,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M3H,Population Characteristics,Total private dwellings,,,,,,14921
M3H,Population Characteristics,Private dwellings occupied by usual residents,,,,,,14226
M3H,Population Characteristics,Population density per square kilometre,,,,,,...
M3H,Population Characteristics,Land area in square kilometres,,,,,,...
M3J,Population Characteristics,Population; 2016,,,,,,25473
M3J,Population Characteristics,Population; 2011,,,,,,...
M3J,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M3J,Population Characteristics,Total private dwellings,,,,,,10196
M3J,Population Characteristics,Private dwellings occupied by usual residents,,,,,,9407
M3J,Population Characteristics,Population density per square kilometre,,,,,,...
M3J,Population Characteristics,Land area in square kilometres,,,,,,...
M3K,Population Characteristics,Population; 2016,,,,,,5997
M3K,Population Characteristics,Population; 2011,,,,,,...
M3K,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M3K,Population Characteristics,Total private dwellings,,,,,,2290
M3K,Population Characteristics,Private dwellings occupied by usual residents,,,,,,2208
M3K,Population Characteristics,Population density per square kilometre,,,,,,...
M3K,Population Characteristics,Land area in square kilometres,,,,,,...
M3L,Population Characteristics,Population; 2016,,,,,,17339
M3L,Population Characteristics,Population; 2011,,,,,,...
M3L,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M3L,Population Characteristics,Total private dwellings,,,,,,6656
M3L,Population Characteristics,Private dwellings occupied by usual residents,,,,,,5824
M3L,Population Characteristics,Population density per square kilometre,,,,,,...
M3L,Population Characteristics,Land area in square kilometres,,,,,,...
M3M,Population Characteristics,Population; 2016,,,,,,24046
M3M,Population Characteristics,Population; 2011,,,,,,...
M3M,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M3M,Population Characteristics,Total private dwellings,,,,,,9706
M3M,Population Characteristics,Private dwellings occupied by usual residents,,,,,,9234
M3M,Population Characteristics,Population density per square kilometre,,,,,,...
M3M,Population Characteristics,Land area in square kilometres,,,,,,...
M3N,Population Characteristics,Population; 2016,,,,,,41958
M3N,Population Characteristics,Population; 2011,,,,,,...
M3N,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
