Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Counts
M1B,Family characteristics,Average household size,,,,,,3.3
M1B,Family characteristics,Total - Census families in private households by family size - 100% data,,,,,,18075
M1B,Family characteristics,Total - Census families in private households by family size - 100% data,2 persons,,,,,6600
M1B,Family characteristics,Total - Census families in private households by family size - 100% data,3 persons,,,,,4680
M1B,Family characteristics,Total - Census families in private households by family size - 100% data,4 persons,,,,,4360
M1B,Family characteristics,Total - Census families in private households by family size - 100% data,5 or more persons,,,,,2435
M1B,Family characteristics,Average size of census families,,,,,,3.2
M1B,Family characteristics,Total number of census families in private households - 100% data,,,,,,18075
M1B,Family characteristics,Total number of census families in private households - 100% data,Total couple families,,,,,13430
M1B,Family characteristics,Total number of census families in private households - 100% data,Total couple families,Married couples,,,,12545
M1B,Family characteristics,Total number of census families in private households - 100% data,Total couple families,Common-law couples,,,,885
M1B,Family characteristics,Total number of census families in private households - 100% data,Total lone-parent families by sex of parent,,,,,4645
M1B,Family characteristics,Total number of census families in private households - 100% data,Total lone-parent families by sex of parent,Female parent,,,,3940
M1B,Family characteristics,Total number of census families in private households - 100% data,Total lone-parent families by sex of parent,Male parent,,,,710
M1B,Family characteristics,Total - Couple census families in private households - 100% data,,,,,,13430
M1B,Family characteristics,Total - Couple census families in private households - 100% data,Couples without children,,,,,4020
M1B,Family characteristics,Total - Couple census families in private households - 100% data,Couples with children,,,,,9410
M1B,Family characteristics,Total - Couple census families in private households - 100% data,Couples with children,1 child,,,,3390
M1B,Family characteristics,Total - Couple census families in private households - 100% data,Couples with children,2 children,,,,3810
M1B,Family characteristics,Total - Couple census families in private households - 100% data,Couples with children,3 or more children,,,,2210
M1B,Family characteristics,Total - Lone-parent census families in private households - 100% data,,,,,,4645
M1B,Family characteristics,Total - Lone-parent census families in private households - 100% data,1 child,,,,,2580
M1B,Family characteristics,Total - Lone-parent census families in private households - 100% data,2 children,,,,,1290
M1B,Family characteristics,Total - Lone-parent census families in private households - 100% data,3 or more children,,,,,775
M1B,Family characteristics,Total - Persons not in census families in private households - 100% data,,,,,,8150
M1C,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,,,,,,11270
M1C,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Single-detached house,,,,,8895
M1C,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Apartment in a building that has five or more storeys,,,,,160
M1C,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,,,,,2215
M1C,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Semi-detached house,,,,365
M1C,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Row house,,,,885
M1C,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Apartment or flat in a duplex,,,,855
M1C,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Apartment in a building that has fewer than five storeys,,,,100
M1C,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Other single-attached house,,,,5
M1C,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Movable dwelling,,,,,5
M1C,Family characteristics,Total - Private households by household size - 100% data,,,,,,11270
M1C,Family characteristics,Total - Private households by household size - 100% data,1 person,,,,,1335
M1C,Family characteristics,Total - Private households by household size - 100% data,2 persons,,,,,3275
M1C,Family characteristics,Total - Private households by household size - 100% data,3 persons,,,,,2330
M1C,Family characteristics,Total - Private households by household size - 100% data,4 persons,,,,,2480
M1C,Family characteristics,Total - Private households by household size - 100% data,5 or more persons,,,,,1860
M1C,Family characteristics,Number of persons in private households,,,,,,35310
M1C,Family characteristics,Average household size,,,,,,3.1
M1C,Family characteristics,Total - Census families in private households by family size - 100% data,,,,,,10360
M1C,Family characteristics,Total - Census families in private households by family size - 100% data,2 persons,,,,,4100
M1C,Family characteristics,Total - Census families in private households by family size - 100% data,3 persons,,,,,2580
M1C,Family characteristics,Total - Census families in private households by family size - 100% data,4 persons,,,,,2665
M1C,Family characteristics,Total - Census families in private households by family size - 100% data,5 or more persons,,,,,1020
M1C,Family characteristics,Average size of census families,,,,,,3.1
M1C,Family characteristics,Total number of census families in private households - 100% data,,,,,,10360
M1C,Family characteristics,Total number of census families in private households - 100% data,Total couple families,,,,,8820
M1C,Family characteristics,Total number of census families in private households - 100% data,Total couple families,Married couples,,,,8205
M1C,Family characteristics,Total number of census families in private households - 100% data,Total couple families,Common-law couples,,,,620
M1C,Family characteristics,Total number of census families in private households - 100% data,Total lone-parent families by sex of parent,,,,,1540
M1C,Family characteristics,Total number of census families in private households - 100% data,Total lone-parent families by sex of parent,Female parent,,,,1230
M1C,Family characteristics,Total number of census families in private households - 100% data,Total lone-parent families by sex of parent,Male parent,,,,310
M1C,Family characteristics,Total - Couple census families in private households - 100% data,,,,,,8820
M1C,Family characteristics,Total - Couple census families in private households - 100% data,Couples without children,,,,,3210
M1C,Family characteristics,Total - Couple census families in private households - 100% data,Couples with children,,,,,5610
M1C,Family characteristics,Total - Couple census families in private households - 100% data,Couples with children,1 child,,,,2120
M1C,Family characteristics,Total - Couple census families in private households - 100% data,Couples with children,2 children,,,,2515
M1C,Family characteristics,Total - Couple census families in private households - 100% data,Couples with children,3 or more children,,,,975
M1C,Family characteristics,Total - Lone-parent census families in private households - 100% data,,,,,,1540
M1C,Family characteristics,Total - Lone-parent census families in private households - 100% data,1 child,,,,,885
M1C,Family characteristics,Total - Lone-parent census families in private households - 100% data,2 children,,,,,460
